|name|required|type|foreign_key|description|
|---|---|---|---|---|
|node_id|True|any|-|Primary key|
|name|-|string|-|Optional|
|x_coord|True|number|-|Required. Coordinate system specified in config file.|
|y_coord|True|number|-|Required. Coordinate system specified in config file.|
|z_coord|True|number|-|Optional. Coordinate system specified in config file.|
|node_type|-|string|-|Optional. What it represents (intersection, transit station, park & ride).|
|ctrl_type|-|string|-|Optional. Intersection control type - one of ControlType_Set.|
|zone_id|-|any|-|Optional. Could be a Transportation Analysis Zone (TAZ) or city, or census tract, or census block.|
|parent_node_id|-|any|Table: ``, Variable: `node_id`|Optional. Associated node. For example, if this node is a sidewalk, a parent_nodek_id could represent the intersection  it is associated with.|
