|name|required|type|foreign_key|description|constraints enum|constraints minimum|
|---|---|---|---|---|---|---|
|segment_id|True|any|-|Primary key.|Allowed Values: `-`|-|
|road_link_id|True|any|-|Required. Foreign key to road_links. The link that the segment is located on.|Allowed Values: `-`|-|
|ref_node_id|True|any|-|Required. Foreign key to node.|Allowed Values: `-`|-|
|start_lr|True|number|-|Required. Distance from ref_node_id.|Allowed Values: `-`|0|
|end_lr|True|number|-|Required. Distance from ref_node_id.|Allowed Values: `-`|0|
|capacity|-|integer|-|Optional. Capacity (veh/hr)|Allowed Values: `-`|0|
|free_speed|-|integer|-|Optional. Free flow speed (mph)|Allowed Values: `-`|0|
|l_lanes_added|-|integer|-|Optional. # of lanes added on the left of the road link (negative indicates a lane drop).|Allowed Values: `-`|-|
|r_lanes_added|-|integer|-|Optional. # of lanes added on the right of the road link (negative indicates a lane drop).|Allowed Values: `-`|-|
|bike_facility|-|string|-|Optional. Type of bicycle accommodation: unknown,none,wcl, bikelane,cycletrack,wide_shoulder, offstreet_path.|Allowed Values: `unknown,none,wcl,bikelane,cycletrack,wide_shoulder,offstreet_path`|-|
|ped_facility|-|string|-|Optional. Type of pedestrian accommodation: unknown,none,shoulder,sidewalk,offstreet_path.|Allowed Values: `unknown,none,shoulder,sidewalk,offstreet_path`|-|
|parking|-|string|-|Optional. Type of parking: unknown,none,shoulder,sidewalk,offstreet_path.|Allowed Values: `unknown,none,shoulder,sidewalk,offstreet_path`|-|
|allowed_uses|-|string|-|Optional. Set of allowed uses; comma-separated. Foreign key to use_definition or use sets.|Allowed Values: `-`|-|
