geometry_id,geometry
1,"LINESTRING (-120.6687239 47.5950787, -120.6686342 47.5950787, -120.6685923 47.5950806, -120.6685603 47.5950854, -120.6684848 47.5951145, -120.6683573 47.5951826, -120.6666991 47.5960573, -120.6662392 47.5963002)"
2,"LINESTRING (-120.6687239 47.5950787, -120.6688462 47.5950809, -120.6688878 47.5950816, -120.6689841 47.5950835, -120.6692342 47.5950884, -120.6714399 47.5951316)"
3,"LINESTRING (-120.6687239 47.5950787, -120.6687181 47.5952439, -120.6687246 47.5954234, -120.6687263 47.5954708, -120.6687224 47.5957145, -120.6687182 47.5959712)"
4,"LINESTRING (-120.6687239 47.5950787, -120.6687228 47.5950182, -120.6687199 47.5948674, -120.6687171 47.5946593, -120.6687133 47.5944629, -120.6687068 47.5942908, -120.6687025 47.5939119)"
5,"LINESTRING (-120.6662392 47.5963002, -120.6666991 47.5960573, -120.6683573 47.5951826, -120.6684848 47.5951145, -120.6685603 47.5950854, -120.6685923 47.5950806, -120.6686342 47.5950787, -120.6687239 47.5950787)"
6,"LINESTRING (-120.6662392 47.5963002, -120.6651862 47.596859, -120.6651609 47.5968724, -120.6651372 47.5969104, -120.6651372 47.5969305, -120.6651374 47.5970115)"
7,"LINESTRING (-120.6662392 47.5963002, -120.6661757 47.5962491, -120.6658218 47.5959644, -120.6657944 47.5959424, -120.6654396 47.595643)"
8,"LINESTRING (-120.6651374 47.5970115, -120.6651372 47.5969305, -120.6651372 47.5969104, -120.6651609 47.5968724, -120.6651862 47.596859, -120.6662392 47.5963002)"
9,"LINESTRING (-120.6651374 47.5970115, -120.6650057 47.5970139, -120.664786 47.5970181, -120.6645164 47.5970366, -120.6640639 47.5970413, -120.663989 47.5970403, -120.6636847 47.5970364, -120.6634876 47.5970332, -120.6633896 47.5970316)"
10,"LINESTRING (-120.6651374 47.5970115, -120.6652957 47.5970135, -120.6655192 47.5970163, -120.6658315 47.5970201, -120.6658782 47.5970207, -120.666053 47.5970228, -120.6664611 47.5970276, -120.6669259 47.5970332)"
11,"LINESTRING (-120.6651374 47.5970115, -120.6651381 47.5971116, -120.6650923 47.5987162, -120.6650894 47.598818)"
12,"LINESTRING (-120.6741822 47.5961261, -120.6741991 47.5959424)"
13,"LINESTRING (-120.6741822 47.5961261, -120.6737873 47.5961062)"
14,"LINESTRING (-120.6741822 47.5961261, -120.6741452 47.5962375, -120.6741445 47.5962567, -120.6741369 47.5964711)"
15,"LINESTRING (-120.6580041 47.602828, -120.6598966 47.6028282, -120.6602573 47.6028208)"
16,"LINESTRING (-120.6580041 47.602828, -120.658 47.6026932, -120.6579796 47.6022194, -120.6579731 47.6020698, -120.6579711 47.602015, -120.6579678 47.6019283, -120.6579671 47.6019089, -120.6579369 47.6011718, -120.657934 47.6008301, -120.65793 47.6007016, -120.6579212 47.6006093, -120.6578939 47.6005381)"
17,"LINESTRING (-120.6602573 47.6028208, -120.6598966 47.6028282, -120.6580041 47.602828)"
18,"LINESTRING (-120.6737738 47.5917638, -120.6727308 47.5924235)"
19,"LINESTRING (-120.6737738 47.5917638, -120.6733427 47.5914673, -120.6729022 47.5911585)"
20,"LINESTRING (-120.6727308 47.5924235, -120.6737738 47.5917638)"
21,"LINESTRING (-120.6727308 47.5924235, -120.671292 47.5933635, -120.671211 47.5934223)"
22,"LINESTRING (-120.6727308 47.5924235, -120.6723058 47.5921196, -120.6718918 47.591816)"
23,"LINESTRING (-120.6727308 47.5924235, -120.673102 47.5926924)"
24,"LINESTRING (-120.671211 47.5934223, -120.671292 47.5933635, -120.6727308 47.5924235)"
25,"LINESTRING (-120.671211 47.5934223, -120.6707636 47.5934166, -120.6704487 47.5934125, -120.6702952 47.593409, -120.6694787 47.5933939)"
26,"LINESTRING (-120.671211 47.5934223, -120.6715247 47.5934329)"
27,"LINESTRING (-120.667632 47.5927889, -120.6675218 47.5928683, -120.6672724 47.5930273, -120.6671321 47.5931185, -120.6666968 47.5933918, -120.6663249 47.5936056, -120.6662415 47.5936542, -120.6660313 47.5937791, -120.6656645 47.5939707, -120.6653694 47.5941249, -120.6652143 47.5942078, -120.6644568 47.5946048, -120.6642557 47.5947105, -120.6638214 47.5949389, -120.6635755 47.5950682, -120.6634144 47.595153, -120.6632599 47.5952342, -120.6631851 47.5952735, -120.6631098 47.5953131, -120.6628396 47.5954552, -120.6624196 47.595676, -120.6617198 47.5960441, -120.6615876 47.5961136)"
28,"LINESTRING (-120.667632 47.5927889, -120.668205 47.5924347, -120.6685627 47.5921983, -120.6690943 47.5918469, -120.6695436 47.5915589, -120.6697727 47.5914095, -120.6699196 47.5913106, -120.6701407 47.5911552, -120.6702783 47.5910642, -120.6705767 47.5908669, -120.6710018 47.5905859, -120.6710791 47.5905348, -120.6714857 47.5902726, -120.6715665 47.5902205)"
29,"LINESTRING (-120.667632 47.5927889, -120.6675641 47.5927239, -120.6675495 47.5927099, -120.666922 47.5922608, -120.6669015 47.5922464, -120.6668219 47.5921906)"
30,"LINESTRING (-120.667632 47.5927889, -120.6677275 47.592868, -120.6677727 47.5929054, -120.6680125 47.5930549, -120.6683285 47.5932722, -120.6684496 47.5933555, -120.6685073 47.5933952, -120.6686016 47.5934601)"
31,"LINESTRING (-120.6615876 47.5961136, -120.6617198 47.5960441, -120.6624196 47.595676, -120.6628396 47.5954552, -120.6631098 47.5953131, -120.6631851 47.5952735, -120.6632599 47.5952342, -120.6634144 47.595153, -120.6635755 47.5950682, -120.6638214 47.5949389, -120.6642557 47.5947105, -120.6644568 47.5946048, -120.6652143 47.5942078, -120.6653694 47.5941249, -120.6656645 47.5939707, -120.6660313 47.5937791, -120.6662415 47.5936542, -120.6663249 47.5936056, -120.6666968 47.5933918, -120.6671321 47.5931185, -120.6672724 47.5930273, -120.6675218 47.5928683, -120.667632 47.5927889)"
32,"LINESTRING (-120.6615876 47.5961136, -120.661353 47.596236, -120.6610107 47.5964154, -120.6609003 47.5964743, -120.6608704 47.59649, -120.6607284 47.596559, -120.6606933 47.5965764, -120.6602268 47.5968278, -120.6601211 47.5968833, -120.6598238 47.5970393, -120.659729 47.597089, -120.6593852 47.5972695, -120.6592819 47.5973236, -120.6592259 47.5973531, -120.6586284 47.597666, -120.6577402 47.5981085, -120.6573605 47.5982971)"
33,"LINESTRING (-120.6615876 47.5961136, -120.6614953 47.5960195, -120.6614924 47.5960163, -120.6613449 47.5959119, -120.6611513 47.5957946, -120.6610743 47.5957446, -120.6609741 47.5956845, -120.6606791 47.595435, -120.66039 47.5951869, -120.6602955 47.5951105)"
34,"LINESTRING (-120.6615876 47.5961136, -120.6616161 47.5961608, -120.6616345 47.5962239, -120.6616519 47.5963075, -120.6616508 47.5964722, -120.6616482 47.5965473, -120.6616445 47.5966511, -120.661654 47.5967516, -120.6616857 47.5968207, -120.6617491 47.5969084)"
35,"LINESTRING (-120.6573605 47.5982971, -120.6577402 47.5981085, -120.6586284 47.597666, -120.6592259 47.5973531, -120.6592819 47.5973236, -120.6593852 47.5972695, -120.659729 47.597089, -120.6598238 47.5970393, -120.6601211 47.5968833, -120.6602268 47.5968278, -120.6606933 47.5965764, -120.6607284 47.596559, -120.6608704 47.59649, -120.6609003 47.5964743, -120.6610107 47.5964154, -120.661353 47.596236, -120.6615876 47.5961136)"
