lane_id,link_id,lane_num,allowed_uses,width
1,1,1,"auto,truck",3.5
2,2,1,"auto,truck",3.5
3,3,1,"auto,truck",3.5
4,3,2,"auto,truck",3.5
5,4,1,"auto,truck",3.5
6,4,2,"auto,truck",3.5
7,5,1,"auto,truck",3.5
8,6,1,"auto,truck",3.5
9,7,1,"auto,truck",3.5
10,8,1,"auto,truck",3.5
11,9,1,"auto,truck",3.5
12,9,2,"auto,truck",3.5
13,10,1,"auto,truck",3.5
14,10,2,"auto,truck",3.5
15,11,1,"auto,truck",3.5
16,12,1,"auto,truck",3.5
17,13,1,"auto,truck",3.5
18,14,1,"auto,truck",3.5
19,15,1,"auto,truck",3.5
20,16,1,"auto,truck",3.5
21,16,2,"auto,truck",3.5
22,17,1,"auto,truck",3.5
23,18,1,"auto,truck",3.5
24,19,1,"auto,truck",3.5
25,20,1,"auto,truck",3.5
26,21,1,"auto,truck",3.5
27,22,1,"auto,truck",3.5
28,23,1,"auto,truck",3.5
29,24,1,"auto,truck",3.5
30,25,1,"auto,truck",3.5
31,26,1,"auto,truck",3.5
32,27,1,"auto,truck",3.5
33,27,2,"auto,truck",3.5
34,28,1,"auto,truck",3.5
35,28,2,"auto,truck",3.5
36,28,3,"auto,truck",3.5
37,29,1,"auto,truck",3.5
38,30,1,"auto,truck",3.5
39,30,2,"auto,truck",3.5
40,31,1,"auto,truck",3.5
41,31,2,"auto,truck",3.5
42,32,1,"auto,truck",3.5
43,32,2,"auto,truck",3.5
44,33,1,"auto,truck",3.5
45,33,2,"auto,truck",3.5
46,34,1,"auto,truck",3.5
47,34,2,"auto,truck",3.5
48,34,3,"auto,truck",3.5
49,35,1,"auto,truck",3.5
50,35,2,"auto,truck",3.5
51,36,1,"auto,truck",3.5
52,36,2,"auto,truck",3.5
53,37,1,"auto,truck",3.5
54,38,1,"auto,truck",3.5
55,38,2,"auto,truck",3.5
56,39,1,"auto,truck",3.5
57,39,2,"auto,truck",3.5
58,40,1,"auto,truck",3.5
59,40,2,"auto,truck",3.5
60,41,1,"auto,truck",3.5
61,42,1,"auto,truck",3.5
62,42,2,"auto,truck",3.5
63,43,1,"auto,truck",3.5
64,43,2,"auto,truck",3.5
65,43,3,"auto,truck",3.5
66,44,1,"auto,truck",3.5
67,44,2,"auto,truck",3.5
68,45,1,"auto,truck",3.5
69,45,2,"auto,truck",3.5
70,46,1,"auto,truck",3.5
71,46,2,"auto,truck",3.5
72,47,1,"auto,truck",3.5
73,48,1,"auto,truck",3.5
74,48,2,"auto,truck",3.5
75,49,1,"auto,truck",3.5
76,49,2,"auto,truck",3.5
77,50,1,"auto,truck",3.5
78,51,1,"auto,truck",3.5
79,51,2,"auto,truck",3.5
80,52,1,"auto,truck",3.5
81,53,1,"auto,truck",3.5
82,54,1,"auto,truck",3.5
83,55,1,"auto,truck",3.5
84,56,1,"auto,truck",3.5
85,57,1,"auto,truck",3.5
86,58,1,"auto,truck",3.5
87,59,1,"auto,truck",3.5
88,60,1,"auto,truck",3.5
89,61,1,"auto,truck",3.5
90,62,1,"auto,truck",3.5
91,63,1,"auto,truck",3.5
92,64,1,"auto,truck",3.5
93,65,1,"auto,truck",3.5
94,66,1,"auto,truck",3.5
95,67,1,"auto,truck",3.5
96,68,1,"auto,truck",3.5
97,69,1,"auto,truck",3.5
98,70,1,"auto,truck",3.5
99,71,1,"auto,truck",3.5
100,71,2,"auto,truck",3.5
101,71,3,"auto,truck",3.5
102,72,1,"auto,truck",3.5
103,73,1,"auto,truck",3.5
104,74,1,"auto,truck",3.5
105,75,1,"auto,truck",3.5
106,76,1,"auto,truck",3.5
107,77,1,"auto,truck",3.5
108,77,2,"auto,truck",3.5
