link_id,name,from_node_id,to_node_id,directed,geometry_id,length,facility_type,free_speed,lanes,bike_facility,ped_facility,parking,allowed_uses,osm_way_id
1,Benton Street,1,2,False,1,232.717,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",5836396
2,West Street,1,59,False,2,203.747,residential,40.23,1,none,sidewalk,parallel,"auto,truck,walk,bike",5850530
3,Ski Hill Drive,1,68,False,3,99.258,tertiary,40.23,2,none,sidewalk,parallel,"auto,truck,walk,bike",5848236
4,Ski Hill Drive,1,100,False,4,129.755,tertiary,40.23,2,none,sidewalk,parallel,"auto,truck,walk,bike",5848236
5,Benton Street,2,1,False,5,232.717,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",5836396
6,Benton Street,2,3,False,6,118.713,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",5836396
7,Woodward Street,2,81,False,7,94.533,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",5848820
8,Benton Street,3,2,False,8,118.713,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",5836396
9,Evans Street,3,15,False,9,131.186,tertiary,40.23,2,none,sidewalk,parallel,"auto,truck,walk,bike",5846367
10,Evans Street,3,26,False,10,134.129,tertiary,40.23,2,none,sidewalk,parallel,"auto,truck,walk,bike",5846367
11,Orchard Street,3,93,False,11,200.909,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",5851214
12,Mine Street,4,77,False,12,20.466,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",1526268887
13,Nordic Circle,4,115,False,13,29.694,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",607427620
14,Mine Street,4,119,False,14,38.677,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",1526268886
15,Farivar Lane,5,6,False,15,168.946,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",5837825
16,Titus Road,5,29,False,16,254.98,tertiary,56.33,2,none,sidewalk,parallel,"auto,truck,walk,bike",5848848
17,Farivar Lane,6,5,False,17,168.946,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",5837825
18,West Benton Street,7,8,False,18,107.232,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",5845859
19,Mill Street,7,24,False,19,93.822,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",5846360
20,West Benton Street,8,7,False,20,107.232,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",5845859
21,West Benton Street,8,9,False,21,159.145,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",5845859
22,Clinton Street,8,66,False,22,92.315,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",5848124
23,Clinton Street,8,67,False,23,40.852,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",5848124
24,West Benton Street,9,8,False,24,159.145,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",5845859
25,Prospect Street,9,52,False,25,129.943,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",318029080
26,Prospect Street,9,53,False,26,23.553,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",318029080
27,,10,11,False,27,585.357,primary,48.28,2,none,sidewalk,parallel,"auto,truck,walk,bike",5846044
28,US 2,10,23,False,28,410.68,primary,48.28,3,none,sidewalk,parallel,"auto,truck,walk,bike",5851752
29,3rd Street,10,74,False,29,90.189,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",5848610
30,Ski Hill Drive,10,99,False,30,104.296,tertiary,40.23,2,none,sidewalk,parallel,"auto,truck,walk,bike",5848236
31,,11,10,False,31,585.357,primary,48.28,2,none,sidewalk,parallel,"auto,truck,walk,bike",5846044
32,,11,12,False,32,399.307,primary,48.28,2,none,sidewalk,parallel,"auto,truck,walk,bike",5846044
33,9th Street,11,48,False,33,148.215,tertiary,40.23,2,none,sidewalk,parallel,"auto,truck,walk,bike",5847102
34,Sherbourne Street,11,96,False,34,90.507,tertiary,40.0,3,none,sidewalk,parallel,"auto,truck,walk,bike",5846366
35,,12,11,False,35,399.307,primary,48.28,2,none,sidewalk,parallel,"auto,truck,walk,bike",5846044
36,,12,13,False,36,255.309,primary,48.28,2,none,sidewalk,parallel,"auto,truck,walk,bike",5846044
37,12th Street,12,88,False,37,86.294,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",5851157
38,,13,12,False,38,255.309,primary,48.28,2,none,sidewalk,parallel,"auto,truck,walk,bike",5846044
39,,13,14,False,39,182.801,primary,48.28,2,none,sidewalk,parallel,"auto,truck,walk,bike",60696381
40,Chumstick Road,13,85,False,40,98.123,secondary,40.23,2,none,sidewalk,parallel,"auto,truck,walk,bike",5849940
41,Front Street,13,97,False,41,26.616,tertiary,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",73964436
42,,14,13,False,42,182.801,primary,48.28,2,none,sidewalk,parallel,"auto,truck,walk,bike",60696381
43,Alpensee Strasse,14,36,False,43,384.617,residential,40.0,3,none,sidewalk,parallel,"auto,truck,walk,bike",5846448
44,Evans Street,15,3,False,44,131.186,tertiary,40.23,2,none,sidewalk,parallel,"auto,truck,walk,bike",5846367
45,Central Avenue,15,16,False,45,97.916,residential,40.0,2,none,sidewalk,parallel,"auto,truck,walk,bike",73960339
46,Evans Street,15,25,False,46,99.914,tertiary,40.23,2,none,sidewalk,parallel,"auto,truck,walk,bike",5846367
47,Central Avenue,15,81,False,47,228.167,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",5850267
48,Central Avenue,16,15,False,48,97.916,residential,40.0,2,none,sidewalk,parallel,"auto,truck,walk,bike",73960339
49,Central Avenue,16,17,False,49,98.581,residential,40.0,2,none,sidewalk,parallel,"auto,truck,walk,bike",73960339
50,Ash Street,16,39,False,50,100.223,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",5851283
51,Central Avenue,17,16,False,51,98.581,residential,40.0,2,none,sidewalk,parallel,"auto,truck,walk,bike",73960339
52,Central Avenue,17,18,False,52,102.894,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",73960364
53,Birch Street,17,40,False,53,101.359,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",73960388
54,Birch Street,17,93,False,54,130.395,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",73960388
55,Central Avenue,18,17,False,55,102.894,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",73960364
56,Central Avenue,18,19,False,56,99.634,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",73960364
57,Cedar Street,18,41,False,57,99.966,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",5847010
58,Central Avenue,19,18,False,58,99.634,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",73960364
59,Pine Street,19,32,False,59,99.712,residential,40.23,1,none,sidewalk,parallel,"auto,truck,walk,bike",5846369
60,Pine Street,19,33,False,60,131.876,residential,40.23,1,none,sidewalk,parallel,"auto,truck,walk,bike",5846369
61,Central Avenue,19,114,False,61,77.797,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",1210649192
62,Division Street,20,79,False,62,50.362,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",73960353
63,Division Street,20,90,False,63,49.58,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",987232718
64,Commercial Street,20,102,False,64,138.557,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",5846309
65,13th Street,21,84,False,65,105.196,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",5849328
66,Commercial Street,21,102,False,66,107.625,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",5846309
67,Commercial Street,21,104,False,67,104.551,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",5846309
68,Mill Street,22,23,False,68,35.649,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",1526268892
69,West Commercial Street,22,46,False,69,125.632,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",5848660
70,Joseph Street,22,49,False,70,240.657,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",5848660
71,US 2,23,10,False,71,410.68,primary,48.28,3,none,sidewalk,parallel,"auto,truck,walk,bike",5851752
72,Mill Street,23,22,False,72,35.649,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",1526268892
73,Mill Street,23,24,False,73,144.617,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",5846360
74,Mill Street,24,7,False,74,93.822,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",5846360
75,Mill Street,24,23,False,75,144.617,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",5846360
76,West Whitman Street,24,66,False,76,105.292,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",5850116
77,Evans Street,25,15,False,77,99.914,tertiary,40.23,2,none,sidewalk,parallel,"auto,truck,walk,bike",5846367
78,Summit Avenue,25,39,False,78,96.8,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",5846842
79,Evans Street,25,96,False,79,27.391,tertiary,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",426662508
80,Evans Street,26,3,False,80,134.129,tertiary,40.23,2,none,sidewalk,parallel,"auto,truck,walk,bike",5846367
81,Evans Street,26,27,False,81,134.776,tertiary,40.23,2,none,sidewalk,parallel,"auto,truck,walk,bike",5846367
82,Center Street,26,68,False,82,180.735,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",5850630
83,Cascade Street,26,89,False,83,201.841,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",5850487
84,Evans Street,27,26,False,84,134.776,tertiary,40.23,2,none,sidewalk,parallel,"auto,truck,walk,bike",5846367
85,Ski Hill Drive,27,69,False,85,41.022,tertiary,40.23,2,none,sidewalk,parallel,"auto,truck,walk,bike",5848236
86,Ski Hill Drive,27,70,False,86,100.95,tertiary,40.23,2,none,sidewalk,parallel,"auto,truck,walk,bike",5848236
87,Pine Street,28,29,False,87,111.388,residential,40.23,1,none,sidewalk,parallel,"auto,truck,walk,bike",5846369
88,Fir Street,28,42,False,88,160.502,residential,40.23,1,none,sidewalk,parallel,"auto,truck,walk,bike",5849539
89,Cone Street,28,98,False,89,38.275,residential,40.0,1,none,sidewalk,parallel,"auto,truck,walk,bike",304141388
90,Titus Road,29,5,False,90,254.98,tertiary,56.33,2,none,sidewalk,parallel,"auto,truck,walk,bike",5848848
91,Pine Street,29,28,False,91,111.388,residential,40.23,1,none,sidewalk,parallel,"auto,truck,walk,bike",5846369
92,Pine Street,29,30,False,92,110.176,residential,40.23,1,none,sidewalk,parallel,"auto,truck,walk,bike",5846369
93,Burke Avenue,29,43,False,93,98.717,tertiary,40.23,2,none,sidewalk,parallel,"auto,truck,walk,bike",5847228
94,Pine Street,30,29,False,94,110.176,residential,40.23,1,none,sidewalk,parallel,"auto,truck,walk,bike",5846369
