node_id,name,x_coord,y_coord,node_type,ctrl_type,osm_node_id
1,,-120.6687239,47.5950787,intersection,stop_2_way,46817728
2,,-120.6662392,47.5963002,intersection,yield,46817735
3,,-120.6651374,47.5970115,intersection,no_control,46817745
4,,-120.6741822,47.5961261,intersection,no_control,46851177
5,,-120.6580041,47.602828,intersection,no_control,46856863
6,,-120.6602573,47.6028208,intersection,no_control,46856869
7,,-120.6737738,47.5917638,intersection,stop_4_way,46989944
8,,-120.6727308,47.5924235,intersection,stop_2_way,46989948
9,,-120.671211,47.5934223,intersection,yield,46989955
10,,-120.667632,47.5927889,intersection,no_control,46992503
11,,-120.6615876,47.5961136,intersection,signal,46992536
12,,-120.6573605,47.5982971,intersection,no_control,46992541
13,,-120.6542445,47.5991003,intersection,signal,46992557
14,,-120.6518948,47.5987513,intersection,stop_4_way,46992565
15,,-120.6633896,47.5970316,intersection,stop_2_way,46993864
16,,-120.6633634,47.5979119,intersection,yield,46993865
17,,-120.6633506,47.5987984,intersection,no_control,46993867
18,,-120.6633211,47.5997235,intersection,no_control,46993871
19,,-120.6632747,47.6006189,intersection,no_control,46993874
20,,-120.6572303,47.5961732,intersection,no_control,46997921
21,,-120.6546503,47.5975424,intersection,stop_4_way,46997930
22,,-120.6712629,47.5899738,intersection,stop_2_way,46998801
23,,-120.6715665,47.5902205,intersection,yield,46998803
24,,-120.6729022,47.5911585,intersection,no_control,46998805
25,,-120.6620572,47.5970217,intersection,no_control,46999006
26,,-120.6669259,47.5970332,intersection,no_control,46999018
27,,-120.6687229,47.5970591,intersection,no_control,46999021
28,,-120.6564086,47.600518,intersection,stop_4_way,46999072
29,,-120.6578939,47.6005381,intersection,stop,46999075
30,,-120.6593626,47.6005687,intersection,yield,46999080
31,,-120.6606139,47.6005824,intersection,no_control,46999084
32,,-120.6619451,47.6006006,intersection,no_control,46999088
33,,-120.6650329,47.6006472,intersection,no_control,46999094
34,,-120.6668343,47.6006748,intersection,no_control,46999097
35,,-120.6686748,47.6006971,intersection,stop_4_way,46999099
36,,-120.6481794,47.6010878,intersection,stop_2_way,47000375
37,,-120.6675683,47.5891323,intersection,yield,47012198
38,,-120.6696093,47.5899837,intersection,no_control,47012227
39,,-120.6620271,47.597892,intersection,no_control,47013635
